,Algorithm,Alpha,Trial,Min_Error,Min_Error_Idx,Sum_Error
245,ADMM,145.0,13,0.18770299500314178,479,706.0978954547066
246,ADMM,150.0,13,0.18761802818207937,474,704.6587795866175
247,ADMM,155.0,13,0.1875299838994625,407,703.3966600111945
248,ADMM,160.0,13,0.1876130806832312,407,702.3045630100274
249,ADMM,175.0,13,0.18682790731361198,536,698.7497752355451
250,ADMM,200.0,13,0.18316727243068034,541,690.4189699648111
251,ADMM,225.0,13,0.17882337771834317,550,682.2489735085398
252,MPPS,1.0,14,0.2697460864623264,799,403.6309457214417
253,MPPS,5.0,14,0.34244381158917137,798,342.6236368226566
254,MPPS,10.0,14,0.35437653893848337,468,349.3776740865477
255,MPPS,15.0,14,0.3598066758798542,712,356.19695668370076
256,MPPS,20.0,14,0.36674384008809247,799,363.3597723413878
257,MPPS,25.0,14,0.3750590013590497,799,369.4494375779818
258,ADMM,1.0,14,1.816315885974871,2399,5557.511192647416
259,ADMM,10.0,14,0.3358444352119865,2399,2233.82191568033
260,ADMM,100.0,14,0.31049236161974925,350,1053.2220973519688
261,ADMM,125.0,14,0.33090112451824627,328,1056.7897863173841
262,ADMM,140.0,14,0.3389418494285018,1518,1060.6113497546849
263,ADMM,145.0,14,0.3386729253011497,1389,1061.8972645477738
264,ADMM,150.0,14,0.3384148942439927,1427,1062.6389058065567
265,ADMM,155.0,14,0.3388073546500241,1463,1063.5098869208314
266,ADMM,160.0,14,0.33949024526029387,1503,1064.2795000429833
267,ADMM,175.0,14,0.34092947421088604,1578,1064.8911348827023
268,ADMM,200.0,14,0.34357013074549553,1694,1067.2178278488964
269,ADMM,225.0,14,0.343589797350058,1721,1071.0192082515655
270,MPPS,1.0,15,0.19559425635889824,320,423.40941397070037
271,MPPS,5.0,15,0.1404480851105617,133,246.12649595594218
272,MPPS,10.0,15,0.15040823983255905,193,213.61606189546708
273,MPPS,15.0,15,0.1572321048291954,269,207.39282194912136
274,MPPS,20.0,15,0.1614775032461907,339,208.03786543726244
275,MPPS,25.0,15,0.16297351261094872,446,208.78786041473273
276,ADMM,1.0,15,2.4360450402731537,2399,6850.344779302174
277,ADMM,10.0,15,0.4332103372433181,2399,3114.7291755296283
278,ADMM,100.0,15,0.1558041459110785,1118,809.6482561522961
279,ADMM,125.0,15,0.153672701849656,1183,762.4144607646384
280,ADMM,140.0,15,0.1611426700169421,1345,743.076569203223
281,ADMM,145.0,15,0.16281977650399365,1375,737.5504748754377
