nf,rand,s,xnorm,IP_Deviation,IP_Mean_Deviation,MPPS_Deviation,MPPS_Mean_Deviation,MPPS_Deviation_Dist,MPPS_Mean_Deviation_Dist
0.05,randn,870,4.701142294398063,0.3143003822412319,0.048759393321410056,0.40642580936530975,0.05602149278338486,0.40719542942674786,0.05581724743725723
0.05,randn,871,4.225170579402094,0.27284520520999006,0.03563756772365359,0.2858457300635402,0.03536394731216495,0.2874405854798829,0.03585484273636504
0.05,randn,872,4.757182363793937,0.2174266000127417,0.03277668260467278,0.17009780195932434,0.026353849247849406,0.18145856559138854,0.0272753691638869
0.05,randn,873,4.366537325186229,0.19307895285786789,0.02983724959094626,0.15255210146236775,0.023304203761397864,0.15727957211565857,0.024427898855753097
0.05,randn,874,4.392782252190078,0.1658569511411294,0.025848519601747402,0.19251092319227028,0.029669840952137375,0.19637247726043028,0.030243240265320704
0.05,randn,875,4.585329697067626,0.20813764532770765,0.02964113161147911,0.16607456344936622,0.02573444864298837,0.16459914722590707,0.025580795481103123
0.05,randn,876,4.155898417236494,0.18030012934036344,0.02568618559796419,0.1765769724419442,0.026413218223805452,0.17864761396910706,0.026947661679684928
0.05,randn,877,4.5853890220957885,0.2654867239708716,0.03799983008447927,0.21357216801722073,0.028695882311148706,0.2184101439278852,0.029374245675226857
0.05,randn,878,4.572010028405723,0.24223814552497838,0.034425054105900826,0.22310060493740033,0.03199285585953433,0.21921969055672932,0.032151167967404706
0.05,randn,879,4.204588014420733,0.27614263491492297,0.03949359525601835,0.2981189791426703,0.041013325715294875,0.29809247525939375,0.041110852019604995
0.05,randn,880,4.243796150032257,0.15580285300798935,0.02282036986056252,0.14660475456417935,0.02227952632356268,0.1548449723055357,0.023079888213916624
0.05,randn,881,3.950403438456493,0.15011623874218724,0.02340215174314296,0.14872664280158407,0.02268979939943771,0.15356910842846552,0.023550131392990205
0.05,randn,882,4.4962850799802245,0.25204779167936175,0.039508857818250205,0.28058058124589125,0.04278410498295861,0.27970735400215774,0.04217960384455577
0.05,randn,883,4.515342975673764,0.20583558795649948,0.03039777519547377,0.1518903233841514,0.023899027022397143,0.14830032074616714,0.023480287398720847
0.05,randn,884,4.416114254505668,0.21437788419928333,0.035531583078319405,0.22207894156004843,0.03255683705260332,0.22267204470221316,0.03350585089666293
0.05,randn,885,4.787153863750057,0.2607806950483125,0.03430654182380578,0.2225213398368644,0.030270437316477945,0.2286140284300359,0.030830968210038338
0.05,randn,886,4.377475836808342,0.20448433182747397,0.03122090862664601,0.17572908318640398,0.026975999119263617,0.17616426195757126,0.027436362826275665
0.05,randn,887,4.817182470778861,0.25352273558121224,0.03578639406154059,0.26161146830223453,0.03544897357882127,0.26638443358352676,0.035223668926661254
0.05,randn,888,4.234284087670655,0.22724766846829741,0.035292365290926296,0.18060843993193335,0.02744036057077161,0.1826835845522794,0.027803985064420278
0.05,randn,889,4.364957839263697,0.24494039621005298,0.035070523521143634,0.2594762249392327,0.03454765410786984,0.26123736811944287,0.034941406384602774
0.05,randn,890,4.3909056150810075,0.2685270006922401,0.03708196982626973,0.265739024584626,0.03591228726808741,0.2686249341373442,0.035963116957219626
0.05,randn,891,4.259738898447202,0.2743058263463097,0.03765408451669007,0.39498140803677073,0.04877696355801964,0.39992678721247615,0.0500129233726623
0.05,randn,892,4.692533783736627,0.18319548656338447,0.028793424123192714,0.16687009637618594,0.026661670164705442,0.1689725790250582,0.026671298471315916
0.05,randn,893,4.469079370809902,0.24590041741989888,0.0360304303738092,0.2448182916282389,0.035558391225664066,0.24492443474009803,0.03470749829729555
0.05,randn,894,4.179567721507096,0.3937956570929552,0.05325872074976397,0.23054033278067126,0.03196239693798406,0.23059677936184905,0.031745628051278785
0.05,randn,895,4.327554870025895,0.22122694119170638,0.034137547475103495,0.20942670417796636,0.030785937262613836,0.21251880135949405,0.0317874384318365
0.05,randn,896,4.495886082856058,0.18630262483458404,0.028229340034874883,0.16621644049101383,0.026468276225595392,0.17057050092975645,0.027045579571034935
0.05,randn,897,4.509925706589459,0.22599753604540454,0.032277555859555634,0.3724989559309808,0.049696694252677705,0.3722820212341036,0.04971970723535513
0.05,randn,898,4.775919864353007,0.22197065878476793,0.03043552408882223,0.21921906881184425,0.02775817864374477,0.22443434276197025,0.02907925662832049
0.05,randn,899,4.79293621482268,0.17209415979396,0.02670262077387735,0.16447635199274782,0.025265280504221093,0.16498686331939855,0.025121420015273663
0.05,uniform,900,4.152878761225101,0.14510670563683278,0.021686968436331125,0.13225136015005703,0.020185363202930625,0.13416523115383125,0.020716752609002183
0.05,uniform,901,4.6475809372480565,0.11118491241319502,0.017982805263857406,0.08631643313021477,0.013798369704549184,0.09043751417240255,0.014838045153533926
0.05,uniform,902,4.289042970626469,0.15688870806203642,0.02455367992397922,0.144462783361012,0.02158388324698429,0.14479171852333925,0.021673037953787642
0.05,uniform,903,4.776959310807071,0.13909683492024194,0.02079643284709797,0.12155594942885675,0.018726646120380865,0.12342330250402539,0.019013223818719817
0.05,uniform,904,4.521224346362177,0.24487435073251326,0.03888109288948029,0.2880583654191305,0.0441365683110943,0.2883333634615633,0.04401849428032431
0.05,uniform,905,4.43970025432573,0.11677373142624696,0.018198151275926607,0.11591006068163928,0.016952471821820234,0.11707968161880535,0.01770181160292014
0.05,uniform,906,4.358497848274425,0.23762087040188995,0.028518464254645114,0.23256654713134828,0.028198312830911683,0.22966485409518653,0.02806465038865975
0.05,uniform,907,4.653824425234412,0.1647596271465126,0.02506715500943767,0.16522678288682585,0.02399604809325966,0.1715890587798323,0.025271210646363514
0.05,uniform,908,4.814891789491281,0.11902630805683857,0.01841213541077389,0.1128383818616442,0.017210328741972973,0.11520482996050913,0.017631906180158193
0.05,uniform,909,4.066799717566609,0.12697184126646213,0.020720615032666364,0.1054248101132095,0.015899442490732895,0.10734026932965075,0.016069500976678024
0.05,uniform,910,4.900225657813443,0.10070729925719583,0.01572007099527601,0.09871851608345801,0.015184627733025206,0.10172238977205834,0.01538299775117302
0.05,uniform,911,4.741142473653199,0.12968831873534767,0.021095467287098737,0.13044115288168123,0.02157777562000208,0.1362564064261211,0.022532896096123058
0.05,uniform,912,4.1222301241433605,0.1885544662226866,0.02813706281684692,0.1825841822536849,0.025613369452499937,0.18250987110139086,0.02547231552924229
0.05,uniform,913,4.376638175610667,0.1675708373637035,0.024027406509935546,0.17930627449939746,0.025972764756201493,0.18216557951940385,0.026435978542496748
0.05,uniform,914,4.500291885653307,0.10910636825424035,0.014982144340754337,0.11657668060326928,0.016148154189497953,0.11708426083399678,0.01676528034667909
0.05,uniform,915,4.32493094455843,0.16026256473115957,0.024705396373874464,0.14171662232668128,0.02077358325932154,0.14372263857557713,0.021443293997321297
0.05,uniform,916,4.524783564250424,0.1358713390587012,0.02086576873179312,0.10766188652309,0.017263750418277275,0.11049086509778502,0.017507906313619672
0.05,uniform,917,4.791641149186861,0.11718109756607546,0.018696400365610565,0.11377229971512343,0.016976942941829127,0.11641181168226557,0.01773081613494654
0.05,uniform,918,4.560400083204066,0.4118260798845134,0.06067499268672192,0.3117649377307567,0.043532869255139224,0.310815645254954,0.043545742894916924
0.05,uniform,919,4.180954485412602,0.1285429015376067,0.020297195949524293,0.1222427163168883,0.017829590666037096,0.12620504096524632,0.01821204064857727
0.05,uniform,920,4.176315090040089,0.18780677111046573,0.027779291845449177,0.17346776869493735,0.02430945246645399,0.17130645667041644,0.024049841973670123
0.05,uniform,921,4.522299718871154,0.1224206720396969,0.01799062909341042,0.11859467755055317,0.01708117402893528,0.12079607202023558,0.017694160578549036
0.05,uniform,922,4.3864995925318855,0.23386618593589054,0.03344013162926661,0.13563890108662524,0.020571821911481627,0.1343092340691233,0.020583019224988543
0.05,uniform,923,4.699153472634492,0.20931957547051322,0.03159679497607095,0.13838313541831873,0.02068191194114789,0.1424181206375118,0.021654781946351884
0.05,uniform,924,4.09019214499085,0.13329844607807587,0.018920763301885815,0.09883809834244534,0.01569321411629496,0.09821156568649934,0.015494228462617065
0.05,uniform,925,4.7842368234974435,0.25021441976962727,0.03314874702846346,0.17372161062918898,0.02414437516604063,0.17385136443094304,0.024538107898163193
0.05,uniform,926,4.702993737108579,0.1504721395694539,0.02235955979108241,0.13441218306793656,0.019089448106489906,0.13125107090172625,0.018979178677674992
0.05,uniform,927,4.252851678569386,0.14266196787937477,0.02126166495615671,0.13617309951285184,0.020091538522751976,0.13700342501547894,0.020276871010027127
0.05,uniform,928,4.951917780503394,0.12995150016980966,0.020897366746998665,0.11128449860383552,0.017410010788968564,0.11548419601446719,0.018389916135879425
0.05,uniform,929,4.684188881091883,0.2025192733887959,0.02820957204065712,0.1709800750307863,0.02447322057750163,0.1712932891133762,0.024657203250535595
0.05,uniform,930,4.5169935905016985,0.12591584966170713,0.020147240502734275,0.10636312436592757,0.017791521864855317,0.1130049102050993,0.018531520107939223
0.05,uniform,931,4.570109455593168,0.1440712536002623,0.02174258688111036,0.11115314357891294,0.017466210360486574,0.1162311291759317,0.018048053792728325
0.05,uniform,932,4.442926692924977,0.1525275939338072,0.024161378527674006,0.111869975044158,0.017173237800401416,0.1158084626733822,0.017548732645920398
0.05,uniform,933,4.627088645499772,0.09870237715130571,0.01563446217460514,0.10127806165228694,0.016231186041640377,0.10415082148150934,0.01673310519664734
0.05,uniform,934,4.591233545276865,0.12453530186777931,0.018821730219403622,0.12774573767674238,0.017857898056797324,0.13026757060665245,0.01809581473327285
0.05,uniform,935,4.449783599458109,0.1459108568921309,0.019838739801346168,0.1559151833963195,0.02076496834106687,0.16337730297749134,0.021819918591585292
0.05,uniform,936,4.389894408237463,0.19190500965714255,0.029273084731594935,0.19184411629809395,0.028352821916948788,0.1897601005973576,0.02768454516863668
0.05,uniform,937,5.109440231881082,0.20613126871833398,0.029457673360582977,0.16368782589156772,0.022810143164427376,0.16450819619917592,0.02296472085630356
0.05,uniform,938,4.640975061651781,0.16165853656262302,0.02320805065905367,0.16365786433046153,0.02256099502217789,0.1641596637441565,0.02244792942711759
0.05,uniform,939,4.537541388962448,0.1485779856650756,0.02049335932213544,0.13666416925433564,0.019248849154518893,0.1414086521424509,0.019860837532506736
0.05,uniform,940,3.955606841288909,0.17904420029004428,0.02573572496707512,0.160720642240504,0.023402852259174593,0.16176054670797285,0.023507288660211702
0.05,uniform,941,3.8742297140809883,0.1446563258174459,0.02318321627584734,0.1189645498700503,0.01966706308597809,0.12223131079397835,0.020012380134308592
0.05,uniform,942,4.323551298284298,0.3469584031466301,0.04487130400085848,0.23488395892392974,0.03333462225638111,0.23720599109466148,0.03446107787555482
0.05,uniform,943,4.6417729959958045,0.15683184876067646,0.023526079530754918,0.1366814865379704,0.019609381524926264,0.13813760739619532,0.01985391618584018
0.05,uniform,944,4.317334260462605,0.27618459736485856,0.03333528485592793,0.28894098681127867,0.035077773103225705,0.28969251808569013,0.03583923811268858
0.05,uniform,945,4.456797992544534,0.20252111371620207,0.029563179580987125,0.19500582874316164,0.027972338987843796,0.19311814818536918,0.027764057296182244
0.05,uniform,946,5.048390091803295,0.1170379968611132,0.016818632537941455,0.1101713868613368,0.01593732955654681,0.11548670687672155,0.016911371505321415
0.05,uniform,947,4.285299459626074,0.1754631804613909,0.022985130499036256,0.14753364539760033,0.018587671133619085,0.1477262007354958,0.01868293511489085
0.05,uniform,948,4.468388047763013,0.15808502514705958,0.02611295965838983,0.14228663741820471,0.021435780269236968,0.14412757999653597,0.02189595273553339
0.05,uniform,949,4.401564823351828,0.12528934548672319,0.018091618896438993,0.13877061906014437,0.02040173069555878,0.13819454177918417,0.020422688462704407
0.05,uniform,950,4.614676157928694,0.15254049855550197,0.021729147977631494,0.1568361162010965,0.020667710593321106,0.1643376669682898,0.02226096480737908
0.05,uniform,951,4.727979708521981,0.15295351608185545,0.024099995379064813,0.15878360815262335,0.025552628359894684,0.1588479716383841,0.025728768709438736
0.05,uniform,952,4.3712973310129355,0.19321167659949576,0.02919526670999837,0.14204108008801977,0.02003747047423832,0.14355709830470043,0.02059547174740608
0.05,uniform,953,4.2815147113913,0.15763267691096422,0.02243792050724176,0.13918569310260726,0.019942256987043234,0.14117974971680214,0.02004797173979333
0.05,uniform,954,4.7797161232189325,0.17014825409422424,0.024975964255434115,0.21993246595285912,0.027818336591841332,0.22737880878469888,0.029277624485908
0.05,uniform,955,4.545183318850032,0.13564194934313706,0.020280138195877814,0.1275765574702037,0.01876427550179206,0.13037229794234664,0.019591377176033053
0.05,uniform,956,4.071553298937322,0.12607645822351607,0.01645484105875653,0.10998127549680166,0.015980044605559955,0.11394543368315348,0.0168983611445759
0.05,uniform,957,4.37472450257187,0.2045582968437318,0.03023102077303917,0.17887097133582128,0.023728464968551324,0.17717969648540097,0.02407299928001547
0.05,uniform,958,4.260013839758568,0.15841828232497313,0.023886680568596507,0.11853959183507441,0.01745565995476748,0.12087777807373393,0.01807198479411342
0.05,uniform,959,4.410053857975844,0.2189865712712815,0.030794967911409305,0.2093639513182143,0.028427229811663377,0.2103172823437123,0.0286469472901243
